Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
HAL,Energy,S&P 500,14.53,2.71,0.30%,901.00M,-3.19%,35.11B,11.46,12.24%,-15.82%,895.12M,8.09%,2.46B,0.61,0.77,84.70%,2.89% / 2.85,31.90%,22.41B,1.57,6.00%,0.90%,25.90M,2.13%,9.65,4.08,10.50%,47.00,39.72%,2.36,16.68,23.70%,30.10%,23.30 - 43.42,0.13%,0.64,18.30,35.80%,13.40%,-9.26%,2.16,1.62%,1.50,-0.30%,18.10%,69.10%,1.0,47000,2.10,14.30%,16.50%,58.98,2.27% 2.33%,Yes,0.91,463.40%,11.00%,0.73,39.27,Yes,0.91,Jul 19 BMO,20.60%,9.09M,39.4,1.70,0.54%,9.36%,10.84%,"6,621,666",0.33%
AMT,Real Estate,S&P 500,85.32,2.07,0.10%,466.09M,-5.70%,82.18B,36.54,19.95%,-3.43%,465.17M,-4.44%,967.40M,7.86,1.14,93.20%,0.95% / 1.92,-7.63%,10.92B,7.53,-32.60%,-0.40%,4.43M,-16.77%,11.08,15.93,1.40%,232.71,-36.41%,4.33,40.77,10.85%,17.30%,175.92 - 279.20,-16.71%,6.28,34.28,7.40%,5.30%,-36.80%,0.59,3.56%,0.50,10.00%,70.00%,0.30%,4.54,6391,0.50,3.60%,22.80%,32.17,2.41% 2.43%,Yes,7.51,-47.90%,8.90%,0.66,176.31,Yes,6.89,Jul 27 BMO,289.90%,2.31M,176.45,2.00,-5.48%,-6.87%,-12.99%,"1,511,239",0.08%
AAL,Industrials,S&P 500,3.97,3.79,0.10%,653.60M,-3.90%,9.90B,4.42,-2.16%,-5.17%,644.85M,-13.76%,2.63B,-,0.91,55.50%,9.81% / 2.67,-0.07%,52.89B,0.19,106.30%,1.45%,63.23M,-8.24%,-6.71,-,4.00%,18.88,0.53%,19.58,0.77,-,-44.20%,11.65 - 19.08,18.24%,-,5.64,-46.10%,5.20%,-21.17%,1.56,-,0.70,2.80%,61.60%,29.08%,0.44,132500,0.70,-37.00%,9.20%,29.9,2.54% 2.51%,Yes,-,205.30%,5.00%,0.88,15.05,Yes,-,Jul 20 BMO,0.00%,23.68M,15.04,2.90,-6.90%,-10.62%,-0.62%,"20,767,843",-0.07%
PAYC,Technology,S&P 500,51.68,5.44,15.43%,57.92M,-3.66%,16.98B,30.36,20.53%,-0.02%,51.50M,-21.33%,315.90M,2.30,1.61,81.00%,2.54% / 2.24,-0.33%,1.56B,10.9,43.60%,1.83%,1.31M,-8.50%,24.29,11.58,8.20%,386.42,-27.99%,8.89,31.66,22.50%,25.30%,262.11 - 393.33,-9.34%,1.50,57.45,18.30%,22.30%,-28.48%,1.45,0.53%,1.20,26.00%,84.20%,7.33%,9.82,6349,1.20,26.60%,27.50%,29.83,2.19% 2.98%,Yes,0.02,12.60%,20.30%,0.92,280.4,Yes,0.02,Aug 01 AMC,6.90%,584.23K,281.32,1.90,-11.83%,-12.98%,-8.56%,"535,674",0.33%
RJF,Financial,S&P 500,13.24,7.94,0.40%,210.10M,-2.20%,21.76B,10.74,15.12%,-1.08%,188.05M,-5.26%,1.74B,1.25,2.32,77.50%,2.31% / 4.43,17.98%,12.48B,1.74,5.20%,0.72%,4.34M,-7.82%,46.98,2.24,2.20%,120.75,-5.14%,40.45,2.60,10.57%,17.90%,82.00 - 126.00,-1.64%,1.68,-,19.40%,2.30%,-16.59%,1.06,1.60%,-,11.60%,89.00%,28.17%,2.06,17000,-,18.50%,18.50%,45.21,1.57% 1.85%,Yes,5.78,23.90%,13.90%,0.64,104.39,Yes,0.32,Jul 26 AMC,18.70%,979.80K,105.1,2.30,-2.77%,0.69%,0.92%,"622,875",0.68%
NOW,Technology,S&P 500,77.95,6.95,0.10%,204.02M,-2.86%,109.98B,44.24,23.06%,-22.56%,203.47M,-6.46%,1.42B,3.04,2.55,90.80%,1.32% / 1.98,6.14%,8.02B,13.72,41.00%,-0.19%,2.69M,19.35%,33.95,15.95,10.80%,637.80,10.79%,23.37,23.17,25.67%,25.80%,337.00 - 614.36,39.46%,-,47.69,34.10%,4.30%,-11.86%,1.02,-,1.10,30.40%,78.50%,60.68%,14.11,20433,1.10,22.70%,6.30%,40.24,2.43% 2.49%,Yes,0.21,5120.00%,17.80%,0.61,543.64,Yes,0.21,Jul 26 AMC,0.00%,1.36M,541.5,1.70,-4.05%,-3.59%,15.51%,"837,769",-0.39%
LHX,Industrials,S&P 500,43.17,4.20,0.30%,189.20M,-3.44%,34.04B,13.50,9.10%,0.00%,188.09M,-9.22%,802.00M,37.87,3.09,84.70%,1.02% / 1.83,-2.35%,17.99B,1.89,-39.60%,-0.56%,1.93M,-14.17%,97.40,1.86,2.30%,234.59,-24.35%,1.95,93.01,1.14%,4.40%,174.55 - 255.10,-12.84%,4.56,18.55,-0.50%,3.60%,-28.86%,0.72,2.51%,0.80,22.60%,27.00%,3.97%,3.41,46000,1.10,13.50%,5.20%,34.2,1.52% 1.88%,Yes,0.48,-24.40%,4.50%,0.6,181.75,Yes,0.43,Jul 26 AMC,106.70%,1.05M,181.48,2.40,-4.22%,-5.66%,-10.21%,"631,161",-0.15%
CB,Financial,S&P 500,14.37,13.91,0.30%,412.49M,-0.93%,82.04B,9.66,11.41%,-2.95%,409.67M,0.26%,5.81B,1.16,4.30,90.50%,0.46% / 0.98,-0.37%,46.45B,1.77,-34.90%,-0.56%,1.90M,-4.93%,128.19,1.56,2.90%,239.89,-0.52%,5.57,35.90,12.40%,11.40%,173.78 - 231.37,-9.38%,3.44,7.56,11.60%,9.00%,-13.60%,0.65,1.72%,-,6.00%,-,15.03%,3.67,34000,-,19.50%,16.50%,50.19,1.42% 1.75%,Yes,0.28,54.20%,12.50%,0.67,200.04,Yes,0.27,Jul 25 AMC,23.70%,1.93M,199.9,2.20,-1.22%,2.03%,-2.34%,"1,303,788",-0.07%
IQV,Healthcare,S&P 500,36.75,5.82,0.89%,185.80M,-2.67%,39.53B,18.38,13.10%,-0.35%,181.48M,-5.47%,1.10B,3.37,2.45,91.10%,1.23% / 2.19,9.48%,14.68B,2.69,15.50%,0.41%,2.23M,-4.47%,31.93,6.70,4.40%,250.84,-11.07%,8.65,24.74,10.90%,19.50%,165.75 - 241.87,4.44%,-,24.92,32.60%,8.20%,-11.53%,1.37,-,0.80,8.20%,34.80%,29.10%,4.15,87000,0.80,2.40%,12.30%,39.03,1.48% 1.99%,Yes,2.22,-8.80%,7.40%,1.06,214.21,Yes,1.99,Aug 01 BMO,0.00%,1.01M,213.98,1.70,-3.43%,-2.25%,1.69%,"1,077,823",-0.11%
TPR,Consumer Cyclical,S&P 500,9.42,3.67,0.50%,234.60M,-1.51%,7.92B,8.15,8.85%,0.00%,231.19M,-17.29%,900.70M,0.59,0.97,96.70%,4.02% / 2.62,-21.62%,6.67B,1.19,21.40%,3.73%,9.29M,-22.91%,9.65,3.58,12.60%,50.41,-6.79%,2.85,12.14,16.00%,39.50%,27.53 - 47.48,-9.16%,1.20,12.31,8.70%,23.40%,-27.15%,1.52,3.47%,1.10,8.30%,69.90%,25.64%,1.3,12600,1.90,5.00%,17.20%,25.96,2.84% 2.99%,Yes,0.74,68.50%,13.50%,1.16,34.6,Yes,0.73,Aug 17 BMO,30.70%,3.55M,34.59,1.90,-13.64%,-17.47%,-15.00%,"4,117,054",-0.03%
