Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
MSFT,Technology,"DJIA, NDX, S&P 500",32.68,9.69,0.05%,7.43B,-1.41%,2354.35B,25.08,15.14%,-2.77%,7.43B,-8.76%,72.36B,2.27,2.65,72.40%,0.48% / 1.27,-0.64%,211.91B,11.11,0.40%,0.47%,35.85M,20.72%,27.74,11.41,19.10%,387.17,8.64%,14.96,21.16,14.40%,38.20%,213.43 - 366.78,31.97%,2.72,39.59,20.00%,26.40%,-13.71%,0.91,0.86%,1.70,13.90%,68.90%,48.28%,6.75,221000,1.80,8.30%,41.80%,35.81,1.59% 1.91%,Yes,0.31,20.60%,34.10%,0.86,316.88,Yes,0.28,Jul 25 AMC,27.40%,28.19M,316.48,1.80,-4.19%,-5.52%,11.68%,"24,360,629",-0.13%
BABA,Consumer Cyclical,-,19.76,4.45,-,2.56B,-8.03%,230.56B,8.79,9.20%,-,2.56B,-4.21%,11.54B,1.88,2.10,14.70%,2.15% / 2.82,2.63%,123.07B,1.87,20.80%,-10.23%,54.93M,-14.63%,54.27,1.62,4.80%,140.73,-1.94%,28.51,3.09,10.52%,8.60%,58.01 - 121.30,-0.07%,-,-,2.30%,7.40%,-27.43%,0.71,-,1.90,28.30%,37.30%,51.75%,3.43,228675,1.90,13.90%,13.10%,40.65,2.13% 2.84%,Yes,0.16,56.70%,9.40%,1.01,90.65,Yes,0.16,Aug 10 BMO,0.00%,19.50M,88.03,1.80,-8.01%,-3.63%,-3.32%,"19,766,194",-2.89%
AAPL,Technology,"DJIA, NDX, S&P 500",29.33,5.95,0.07%,15.70B,-1.86%,2720.36B,26.39,8.95%,-4.49%,15.62B,-9.65%,94.76B,4.61,1.39,60.10%,0.68% / 1.84,-0.32%,383.93B,7.09,8.90%,-0.47%,105.46M,13.52%,3.84,45.44,27.70%,200.68,-0.03%,4.01,43.54,6.37%,164.90%,124.17 - 198.23,34.30%,0.96,26.94,21.60%,58.30%,-11.98%,1.29,0.55%,0.90,11.50%,43.40%,40.53%,3.16,164000,1.00,-1.40%,29.20%,28.79,1.60% 1.62%,Yes,1.81,5.40%,24.70%,1.06,174.00,Yes,1.63,Aug 03 AMC,15.60%,57.43M,174.49,2.00,-6.18%,-6.79%,8.13%,"61,078,508",0.28%
TSLA,Consumer Cyclical,"NDX, S&P 500",61.17,3.52,0.10%,3.17B,-11.19%,695.80B,45.60,37.42%,-6.82%,2.76B,-18.03%,12.23B,5.73,0.81,44.80%,2.83% / 0.59,21.82%,94.03B,7.40,121.70%,1.96%,78.21M,6.66%,16.12,13.37,14.60%,239.82,-29.11%,7.15,30.15,10.68%,26.60%,101.81 - 313.80,74.94%,-,112.92,39.90%,26.10%,-31.33%,2.12,-,1.10,47.30%,21.50%,111.66%,9.35,127855,1.60,47.20%,13.50%,27.40,3.25% 3.53%,Yes,0.05,19.40%,13.00%,1.02,219.22,Yes,0.02,Jul 19 AMC,0.00%,132.84M,215.49,2.70,-14.24%,-16.83%,9.62%,"135,538,336",-1.70%
SPCE,Industrials,RUT,-,-2.13,0.70%,367.14M,-12.04%,1.00B,-,26.30%,0.00%,316.01M,-26.92%,-590.10M,-,-0.43,37.00%,18.76% / 2.39,-36.53%,3.90M,257.00,-33.00%,0.92%,59.27M,-52.34%,1.65,1.73,-51.50%,4.47,-57.72%,2.67,1.07,19.40%,-121.40%,2.62 - 6.70,-18.10%,-,-,-,-55.90%,-57.46%,1.22,-,5.40,-,40.70%,8.78%,0.27,1166,5.50,375.00%,-,32.32,8.72% 7.05%,Yes,0.86,-7.00%,-,0.89,2.73,Yes,0.86,Aug 01 AMC,-,24.78M,2.85,3.20,-19.90%,-27.90%,-34.87%,"21,958,026",4.40%
NVDA,Technology,"NDX, S&P 500",225.05,1.92,0.40%,2.47B,5.98%,1070.59B,37.27,43.70%,-5.17%,2.37B,-4.88%,4.79B,10.62,2.07,65.90%,1.11% / 0.52,36.68%,25.88B,41.37,-54.70%,-0.84%,26.40M,96.80%,9.93,43.60,11.30%,515.86,136.15%,6.20,69.88,21.20%,20.90%,108.13 - 480.88,196.28%,0.16,209.88,8.60%,13.30%,-9.96%,1.75,0.04%,2.80,22.70%,56.30%,300.43%,16.38,26196,3.40,-13.20%,17.40%,47.86,4.44% 3.43%,Yes,0.45,28.70%,18.50%,1.14,433.43,Yes,0.40,Aug 23 AMC,8.30%,51.09M,432.99,1.90,-2.68%,-0.14%,56.28%,"58,171,869",-0.10%
AMZN,Consumer Cyclical,"NDX, S&P 500",105.90,1.26,9.80%,10.29B,-3.75%,1382.37B,42.79,41.31%,-0.03%,9.32B,2.51%,13.07B,-,0.58,60.10%,0.76% / 1.20,12.75%,538.05B,2.57,-108.20%,0.60%,70.67M,35.73%,16.39,8.13,2.90%,169.08,-6.25%,6.16,21.61,-,8.60%,81.43 - 143.63,58.60%,-,430.78,-26.00%,6.60%,-7.25%,1.22,-,0.70,23.60%,45.50%,63.60%,3.52,1541000,0.90,10.80%,3.30%,48.82,2.16% 2.25%,Yes,0.50,424.10%,2.40%,0.82,133.98,Yes,0.48,Aug 03 AMC,0.00%,59.13M,133.22,1.70,-0.69%,1.79%,24.61%,"48,438,961",-0.57%
INTC,Technology,"DJIA, NDX, S&P 500",-,-0.23,0.06%,4.19B,-6.13%,136.45B,18.62,181.44%,0.97%,4.19B,-1.86%,-922.00M,-,0.21,62.50%,1.49% / 1.42,10.34%,54.04B,2.52,-60.00%,-1.82%,62.22M,16.13%,24.16,1.36,-0.50%,35.14,-8.47%,5.82,5.62,8.20%,-0.90%,24.59 - 37.19,23.91%,0.50,-,-8.90%,2.50%,-11.94%,0.90,1.53%,1.20,0.10%,38.30%,33.18%,1.05,131900,1.60,-15.50%,-7.00%,41.39,3.14% 2.84%,Yes,0.49,418.80%,-1.70%,0.54,32.58,Yes,0.46,Jul 27 AMC,74.83%,43.85M,32.75,3.00,-5.64%,-3.56%,8.28%,"23,679,003",0.52%
FRHC,Financial,-,27.02,3.24,71.57%,58.59M,15.70%,4.17B,-,-,-0.01%,17.04M,8.29%,192.70M,-,-,1.00%,3.15% / 3.04,5.78%,808.50M,5.15,-42.00%,2.14%,0.54M,10.73%,13.27,6.59,4.70%,-,51.38%,12.20,7.17,-,33.10%,47.64 - 84.42,50.26%,-,-,41.00%,17.60%,3.62%,1.11,-,0.60,72.60%,82.30%,83.62%,3.80,3247,0.60,-63.60%,56.60%,65.52,9.29% 4.13%,Yes,2.03,-84.20%,27.70%,7.77,69.85,No,0.08,-,0.00%,176.63K,87.48,-,12.45%,9.26%,22.87%,"1,371,563",25.24%
XOM,Energy,S&P 500,8.81,12.49,0.10%,4.07B,-1.60%,433.95B,12.55,-2.99%,19.64%,4.00B,6.41%,51.69B,-,2.15,59.80%,0.84% / 2.11,4.04%,364.12B,1.19,146.40%,0.70%,33.53M,-4.92%,48.95,2.25,14.10%,122.55,19.35%,7.49,14.70,-10.74%,26.60%,83.89 - 119.92,-0.24%,3.64,9.36,32.60%,18.30%,-8.24%,1.06,3.31%,1.10,10.90%,32.80%,31.17%,2.47,62000,1.50,-27.40%,16.70%,57.82,2.31% 2.04%,Yes,0.21,-54.00%,14.20%,1.02,108.40,Yes,0.19,Jul 28 BMO,28.90%,15.87M,110.04,2.40,2.62%,4.03%,0.82%,"16,209,014",1.51%
